pair,estimand,primary_stratified_point,stratified_ci_lo,stratified_ci_hi,non_stratified_ci_lo,non_stratified_ci_hi,qualitative_reference,qualitative_conclusion_changed
EGFR/HER2,fixed_score_delta:D_vs_B_or_neither_pocketA,0.4621,0.2596,0.6406,0.2480,0.6535,CI excludes 0,no
EGFR/HER2,fixed_score_delta:D_vs_A_or_neither_pocketB,0.0774,-0.1310,0.2691,-0.1241,0.2750,CI excludes 0,no
JAK1/JAK2,fixed_score_delta:D_vs_B_or_neither_pocketA,-0.0043,-0.1755,0.1665,-0.1788,0.1583,CI excludes 0,no
JAK1/JAK2,fixed_score_delta:D_vs_A_or_neither_pocketB,0.1415,-0.0643,0.3358,-0.0642,0.3456,CI excludes 0,no
JAK1/TYK2,fixed_score_delta:D_vs_B_or_neither_pocketA,0.4438,0.2605,0.6299,0.2424,0.6300,CI excludes 0,no
JAK1/TYK2,fixed_score_delta:D_vs_A_or_neither_pocketB,0.1300,-0.0367,0.2953,-0.0493,0.3078,CI excludes 0,no
PIK3CA/mTOR,fixed_score_delta:D_vs_B_or_neither_pocketA,-0.2199,-0.5046,0.0324,-0.5330,0.0647,CI excludes 0,no
PIK3CA/mTOR,fixed_score_delta:D_vs_A_or_neither_pocketB,-0.1310,-0.4723,0.1747,-0.4840,0.2058,CI excludes 0,no
AChE/BChE,fixed_score_delta:D_vs_B_or_neither_pocketA,-0.0157,-0.1487,0.1152,-0.1518,0.1203,CI excludes 0,no
AChE/BChE,fixed_score_delta:D_vs_A_or_neither_pocketB,0.0562,-0.0968,0.1926,-0.0910,0.2003,CI excludes 0,no
F2/F10,fixed_score_delta:D_vs_B_or_neither_pocketA,0.1633,-0.0017,0.3358,-0.0075,0.3364,CI excludes 0,no
F2/F10,fixed_score_delta:D_vs_A_or_neither_pocketB,0.1149,-0.0208,0.2621,-0.0165,0.2541,CI excludes 0,no
PPARG/PPARA,fixed_score_delta:D_vs_B_or_neither_pocketA,0.0529,-0.1345,0.2241,-0.1351,0.2276,CI excludes 0,no
PPARG/PPARA,fixed_score_delta:D_vs_A_or_neither_pocketB,-0.0052,-0.2185,0.1958,-0.2103,0.1986,CI excludes 0,no
PPARA/PPARD,fixed_score_delta:D_vs_B_or_neither_pocketA,0.0381,-0.1391,0.2234,-0.1400,0.2184,CI excludes 0,no
PPARA/PPARD,fixed_score_delta:D_vs_A_or_neither_pocketB,0.0187,-0.1715,0.2026,-0.1768,0.1956,CI excludes 0,no
EGFR/HER2,summary_min,0.3237,0.1919,0.4632,0.1942,0.4625,CI excludes 0.5,no
JAK1/JAK2,summary_min,0.5884,0.4482,0.7158,0.4450,0.7267,CI excludes 0.5,no
JAK1/TYK2,summary_min,0.3649,0.2329,0.5051,0.2330,0.5009,CI excludes 0.5,no
PIK3CA/mTOR,summary_min,0.6921,0.4801,0.8016,0.4740,0.8039,CI excludes 0.5,no
AChE/BChE,summary_min,0.6058,0.4392,0.7354,0.4387,0.7328,CI excludes 0.5,no
F2/F10,summary_min,0.3448,0.2157,0.4819,0.2113,0.4657,CI excludes 0.5,no
PPARG/PPARA,summary_min,0.6492,0.5111,0.7460,0.5037,0.7440,CI excludes 0.5,no
PPARA/PPARD,summary_min,0.4463,0.3008,0.5898,0.2952,0.5830,CI excludes 0.5,no
EGFR/HER2,matched_minus_mismatched,0.0558,-0.0290,0.1574,-0.0391,0.1573,CI excludes 0,no
JAK1/JAK2,matched_minus_mismatched,-0.0190,-0.0898,0.0527,-0.0903,0.0538,CI excludes 0,no
JAK1/TYK2,matched_minus_mismatched,-0.0645,-0.1562,0.0323,-0.1542,0.0323,CI excludes 0,no
PIK3CA/mTOR,matched_minus_mismatched,0.0903,-0.1148,0.2639,-0.1222,0.2626,CI excludes 0,no
AChE/BChE,matched_minus_mismatched,0.1770,0.0528,0.2906,0.0510,0.2894,CI excludes 0,no
F2/F10,matched_minus_mismatched,-0.0307,-0.1144,0.0423,-0.1189,0.0438,CI excludes 0,no
PPARG/PPARA,matched_minus_mismatched,0.0296,-0.0803,0.1563,-0.0822,0.1615,CI excludes 0,no
PPARA/PPARD,matched_minus_mismatched,0.0117,-0.0859,0.1416,-0.0921,0.1387,CI excludes 0,no
