protein,pdb,pose_rank,hungarian_rmsd_A,calcrrms_rmsd_A,mapping_method
F2,4UDW,1,0.3819,0.3819,Meeko topology + RDKit CalcRMS; no superposition
F2,4UDW,2,3.2081,6.0352,Meeko topology + RDKit CalcRMS; no superposition
F2,4UDW,3,1.9031,2.9503,Meeko topology + RDKit CalcRMS; no superposition
F2,4UDW,4,2.7978,6.0204,Meeko topology + RDKit CalcRMS; no superposition
F2,4UDW,5,3.5624,6.1463,Meeko topology + RDKit CalcRMS; no superposition
F2,4UDW,6,3.0532,4.0636,Meeko topology + RDKit CalcRMS; no superposition
F2,4UDW,7,4.8643,7.709,Meeko topology + RDKit CalcRMS; no superposition
F2,4UDW,8,5.9678,9.3085,Meeko topology + RDKit CalcRMS; no superposition
F2,4UDW,9,6.5886,7.3228,Meeko topology + RDKit CalcRMS; no superposition
F10,2JKH,1,0.6584,0.6584,CCD SMILES + bond-aware crystal coords + CalcRMS
F10,2JKH,2,2.4574,2.5628,CCD SMILES + bond-aware crystal coords + CalcRMS
F10,2JKH,3,2.3464,2.5719,CCD SMILES + bond-aware crystal coords + CalcRMS
F10,2JKH,4,4.4334,4.5781,CCD SMILES + bond-aware crystal coords + CalcRMS
F10,2JKH,5,3.8326,7.3152,CCD SMILES + bond-aware crystal coords + CalcRMS
F10,2JKH,6,3.1031,3.1031,CCD SMILES + bond-aware crystal coords + CalcRMS
F10,2JKH,7,3.5701,7.729,CCD SMILES + bond-aware crystal coords + CalcRMS
F10,2JKH,8,2.828,2.9308,CCD SMILES + bond-aware crystal coords + CalcRMS
F10,2JKH,9,5.4154,6.6854,CCD SMILES + bond-aware crystal coords + CalcRMS
JAK1,6N7A,1,0.459,0.459,Meeko topology + RDKit CalcRMS; no superposition
JAK1,6N7A,2,2.303,3.4985,Meeko topology + RDKit CalcRMS; no superposition
JAK1,6N7A,3,2.3338,6.076,Meeko topology + RDKit CalcRMS; no superposition
JAK1,6N7A,4,2.3208,3.2618,Meeko topology + RDKit CalcRMS; no superposition
JAK1,6N7A,5,3.3417,4.2941,Meeko topology + RDKit CalcRMS; no superposition
JAK1,6N7A,6,2.926,4.6212,Meeko topology + RDKit CalcRMS; no superposition
JAK1,6N7A,7,4.2273,6.5341,Meeko topology + RDKit CalcRMS; no superposition
JAK1,6N7A,8,3.12,6.8723,Meeko topology + RDKit CalcRMS; no superposition
JAK1,6N7A,9,2.8398,7.0849,Meeko topology + RDKit CalcRMS; no superposition
TYK2,3LXP,1,0.1965,0.1965,Meeko topology + RDKit CalcRMS; no superposition
TYK2,3LXP,2,1.9777,4.2238,Meeko topology + RDKit CalcRMS; no superposition
TYK2,3LXP,3,2.7423,3.1717,Meeko topology + RDKit CalcRMS; no superposition
TYK2,3LXP,4,1.4993,3.9156,Meeko topology + RDKit CalcRMS; no superposition
TYK2,3LXP,5,2.9,4.8163,Meeko topology + RDKit CalcRMS; no superposition
TYK2,3LXP,6,1.9789,5.4265,Meeko topology + RDKit CalcRMS; no superposition
TYK2,3LXP,7,2.2952,4.2588,Meeko topology + RDKit CalcRMS; no superposition
TYK2,3LXP,8,4.8666,6.1741,Meeko topology + RDKit CalcRMS; no superposition
JAK2,8BXH,1,4.0641,10.5961,Meeko topology + RDKit CalcRMS; no superposition
JAK2,8BXH,2,0.8069,0.8069,Meeko topology + RDKit CalcRMS; no superposition
JAK2,8BXH,3,2.932,8.4822,Meeko topology + RDKit CalcRMS; no superposition
JAK2,8BXH,4,2.2494,8.7661,Meeko topology + RDKit CalcRMS; no superposition
JAK2,8BXH,5,3.4325,8.4339,Meeko topology + RDKit CalcRMS; no superposition
JAK2,8BXH,6,3.3942,8.2361,Meeko topology + RDKit CalcRMS; no superposition
JAK2,8BXH,7,2.1428,2.2984,Meeko topology + RDKit CalcRMS; no superposition
JAK2,8BXH,8,2.5067,2.704,Meeko topology + RDKit CalcRMS; no superposition
JAK2,8BXH,9,4.3429,10.825,Meeko topology + RDKit CalcRMS; no superposition
PPARG,9V8H,1,6.4928,7.0855,Meeko topology + RDKit CalcRMS; no superposition
PPARG,9V8H,2,1.5076,1.6356,Meeko topology + RDKit CalcRMS; no superposition
PPARG,9V8H,3,1.4588,2.1032,Meeko topology + RDKit CalcRMS; no superposition
PPARG,9V8H,4,4.9417,9.4225,Meeko topology + RDKit CalcRMS; no superposition
PPARG,9V8H,5,1.8809,8.5295,Meeko topology + RDKit CalcRMS; no superposition
PPARG,9V8H,6,5.1265,8.8945,Meeko topology + RDKit CalcRMS; no superposition
PPARG,9V8H,7,5.942,9.3932,Meeko topology + RDKit CalcRMS; no superposition
PPARG,9V8H,8,5.3426,8.9053,Meeko topology + RDKit CalcRMS; no superposition
PPARG,9V8H,9,8.6495,9.0929,Meeko topology + RDKit CalcRMS; no superposition
PPARA,6LXA,1,7.508,7.8566,Meeko topology + RDKit CalcRMS; no superposition
PPARA,6LXA,2,7.2074,10.5442,Meeko topology + RDKit CalcRMS; no superposition
PPARA,6LXA,3,6.4656,7.8483,Meeko topology + RDKit CalcRMS; no superposition
PPARA,6LXA,4,4.0371,4.7102,Meeko topology + RDKit CalcRMS; no superposition
PPARA,6LXA,5,1.0982,1.401,Meeko topology + RDKit CalcRMS; no superposition
PPARA,6LXA,6,6.9249,8.9805,Meeko topology + RDKit CalcRMS; no superposition
PPARA,6LXA,7,6.0732,6.6495,Meeko topology + RDKit CalcRMS; no superposition
PPARA,6LXA,8,3.5715,3.8263,Meeko topology + RDKit CalcRMS; no superposition
PPARA,6LXA,9,6.1423,10.0219,Meeko topology + RDKit CalcRMS; no superposition
PPARD,5U3Q,1,1.4516,1.51,Meeko topology + RDKit CalcRMS; no superposition
PPARD,5U3Q,2,1.8581,3.2298,Meeko topology + RDKit CalcRMS; no superposition
PPARD,5U3Q,3,4.6917,6.8471,Meeko topology + RDKit CalcRMS; no superposition
PPARD,5U3Q,4,5.5118,7.0958,Meeko topology + RDKit CalcRMS; no superposition
PPARD,5U3Q,5,6.2459,7.5117,Meeko topology + RDKit CalcRMS; no superposition
PPARD,5U3Q,6,5.9897,8.9139,Meeko topology + RDKit CalcRMS; no superposition
PPARD,5U3Q,7,6.0341,7.3857,Meeko topology + RDKit CalcRMS; no superposition
PPARD,5U3Q,8,3.9134,6.0303,Meeko topology + RDKit CalcRMS; no superposition
PPARD,5U3Q,9,5.6091,6.9274,Meeko topology + RDKit CalcRMS; no superposition
